title,body,labels,milestone
Google OAuth login integration,"Implement Google OAuth login flow, callback handling, and token/session integration.","epic,auth","Week1"
Facebook OAuth login integration,"Implement Facebook OAuth login flow, callback handling, and token/session integration.","epic,auth","Week1"
User identity/provider schema,"Define user + social identity tables and migration for provider_user_id uniqueness.","backend,db","Week1"
Auth middleware scope enforcement,"Add middleware that resolves current user and blocks unauthenticated requests.","backend,security","Week1"
Per-user query scoping,"Ensure all game/save queries are filtered by authenticated user_id.","backend,security","Week2"
Game registration API,"Add CRUD for game entries with save path validation.","backend,feature","Week3"
Upload pipeline for save files,"Implement upload with compression, sha256 hash, and revision metadata.","backend,feature","Week3"
Download/restore pipeline,"Implement download by revision and local restore endpoint.","backend,feature","Week3"
Conflict detection and resolve,"Add conflict policy UI/API: local newer / server newer / keep both.","backend,feature","Week3"
Responsive web UI MVP,"Build responsive UI for login, game list, and upload/download actions.","frontend,mvp","Week4"
Revision history UI,"Display revisions, checksum, created_at, restore action.","frontend,mvp","Week4"
Cloudflare + deploy hardening,"Validate tunnel domain, rotate tunnel token, and SSH access hardening.","ops,security","Week5"
Integration test pack,"Create integration tests for auth, scoping, upload/download flows.","tests,qa","Week6"
Operational runbook,"Finalize runbook: deploy, rollback, incident, secrets.","ops,docs","Week6"
